day,date,milp_profit,ppo_profit,milp_cumulative,ppo_cumulative,milp_soh,ppo_soh,avg_price,min_price,max_price,price_volatility,milp_utilization,ppo_utilization,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_fcr_utilization,milp_afrr_utilization,milp_mfrr_utilization,ppo_fcr_utilization,ppo_afrr_utilization,ppo_mfrr_utilization
303,2024-10-29,1185.3885571363105,1959.239829930638,445103.75032695127,593914.9729382264,0.9697000000000033,0.9646410526315831,34.53113659684658,14.250024832715422,61.974333457028266,14.780259591818696,0.0,0.035087719298245605,0.0,-71.36143978987134,1185.3885571363105,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
304,2024-10-30,1187.7431889184575,1968.623386790572,446291.4935158697,595883.596325017,0.9696000000000033,0.9644568421052673,33.29734020638088,10.0,55.69735808252729,15.349036399812318,0.0,0.035087719298245605,0.0,-61.97788292993727,1187.7431889184575,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
305,2024-10-31,1190.1725698378762,1956.0038399598575,447481.6660857076,597839.6001649769,0.9695000000000034,0.9642726315789515,37.856740372640324,11.514775691594208,66.46399835010583,16.659390439155146,0.0,0.035087719298245605,0.0,-74.597429760652,1190.1725698378762,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
306,2024-11-01,1192.675980016569,1963.0820292712,448674.3420657242,599802.6821942481,0.9694000000000034,0.9640884210526357,37.89499368436693,14.157825677437426,64.46780442135308,16.107343392737523,0.0,0.035087719298245605,0.0,-67.51924044930927,1192.675980016569,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
307,2024-11-02,1195.2526776400719,1960.3895922414013,449869.59474336426,601763.0717864895,0.9693000000000034,0.9639042105263199,35.814333344382,10.0,60.00630613203459,15.602027285194788,0.0,0.035087719298245605,0.0,-70.21167747910827,1195.2526776400719,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
308,2024-11-03,1197.90189917727,1954.5992269166993,451067.49664254155,603717.6710134061,0.9692000000000034,0.9637200000000041,37.83860922766441,10.0,62.48882032274075,17.165265106989708,0.0,0.035087719298245605,0.0,-76.0020428038102,1197.90189917727,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
309,2024-11-04,1200.6228596066478,1955.3583263008927,452268.1195021482,605673.029339707,0.9691000000000034,0.9635357894736883,36.959739371595354,10.0,67.15282966113035,17.26325560455577,0.0,0.035087719298245605,0.0,-75.2429434196167,1200.6228596066478,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
310,2024-11-05,1203.4147526489048,1968.2642276455342,453471.5342547971,607641.2935673526,0.9690000000000034,0.9633515789473726,32.5042702903848,10.0,54.6563870540242,14.856771850043181,0.0,0.035087719298245605,0.0,-62.33704207497517,1203.4147526489048,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
311,2024-11-06,1206.27675100588,1970.3538877713206,454677.811005803,609611.647455124,0.9689000000000034,0.9631673684210568,33.89158487854719,10.0,60.42404465696217,15.45054676534061,0.0,0.035087719298245605,0.0,-60.247381949188856,1206.27675100588,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
312,2024-11-07,1209.2080066056933,1959.370902605939,455887.0190124087,611571.0183577299,0.9688000000000034,0.962983157894741,37.3647306124403,10.0,63.41329079255759,16.648881802004016,0.0,0.035087719298245605,0.0,-71.23036711457044,1209.2080066056933,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
