error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,68,99.14489375,12.791815346690052,4434.2516,2187.8730193590814,159.31560000000002,0.0,4374.936,2198.470296250682,100.0,10.597276891600876,0.0,4374.936,0.0,0.0,2198.470296250682,0.0,0.15275096893310547,0.03627181053161621,0.5,0.0,292245.4644652001,148775.36531641727,3264.0,345.8951177418529,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,69,91.44458333333334,11.543235024307046,4397.2996,2187.8730193590814,143.60680000000002,0.0,4353.6928,2198.470296250682,100.0,10.597276891600876,0.0,4353.6928,0.0,0.0,2198.470296250682,0.0,0.1730031967163086,0.026818037033081055,0.5,0.0,296642.7640652001,150963.23833577635,3312.0,350.98181064982134,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,70,77.27713958333332,20.17930548356151,4393.508,2187.8730193590814,132.7576,0.0,4360.7504,2198.470296250682,100.0,10.597276891600876,0.0,4360.7504,0.0,0.0,2198.470296250682,0.0,0.15245509147644043,0.024944782257080078,0.5,0.0,301036.2720652001,153151.11135513542,3360.0,356.06850355778977,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,71,95.9589625,11.795113225169512,4414.91274,2187.8730193590814,143.76394,0.0,4371.1488,2198.470296250682,100.0,10.597276891600876,0.0,4371.1488,0.0,0.0,2198.470296250682,0.0,0.13173651695251465,0.01212000846862793,0.5,0.0,305451.1848052001,155338.9843744945,3408.0,361.1551964657582,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,72,87.40135958333333,14.39979741350507,3981.214353600001,2187.8730193590814,145.0794736,0.0,3936.134880000001,2198.470296250682,100.0,10.597276891600876,0.0,3936.134880000001,0.0,0.0,2198.470296250682,0.0,0.1289048194885254,0.02671051025390625,0.5,0.0,309432.3991588001,157526.85739385357,3456.0,366.2418893737266,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,73,91.45666666666666,15.171084521403062,4012.6777600000005,2187.8730193590814,167.0,0.0,3945.677760000001,2198.470296250682,100.0,10.597276891600876,0.0,3945.677760000001,0.0,0.0,2198.470296250682,0.0,0.13664484024047852,0.02034616470336914,0.5,0.0,313445.07691880007,159714.73041321264,3504.0,371.32858228169505,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,74,95.5978675,12.523191436945181,4400.993990000001,2187.8730193590814,161.34919000000002,0.0,4339.644800000001,2198.470296250682,100.0,10.597276891600876,0.0,4339.644800000001,0.0,0.0,2198.470296250682,0.0,0.14518976211547852,0.0276186466217041,0.5,0.0,317846.07090880006,161902.60343257172,3552.0,376.4152751896635,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,75,89.76855833333332,10.060796752905006,4414.6856,2187.8730193590814,139.7432,0.0,4374.9424,2198.470296250682,100.0,10.597276891600876,0.0,4374.9424,0.0,0.0,2198.470296250682,0.0,0.12269854545593262,0.021996259689331055,0.5,0.0,322260.7565088001,164090.4764519308,3600.0,381.5019680976319,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,76,81.04471208333332,23.393689268444454,4389.4408,2187.8730193590814,134.74960000000002,0.0,4354.6912,2198.470296250682,100.0,10.597276891600876,0.0,4354.6912,0.0,0.0,2198.470296250682,0.0,0.136641263961792,0.02962183952331543,0.5,0.0,326650.19730880007,166278.34947128987,3648.0,386.58866100560033,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,77,76.37241499999999,24.990636482526643,4397.015200000001,2187.8730193590814,137.692,0.0,4359.323200000001,2198.470296250682,100.0,10.597276891600876,0.0,4359.323200000001,0.0,0.0,2198.470296250682,0.0,0.14080524444580078,0.017140626907348633,0.5,0.0,331047.2125088001,168466.22249064894,3696.0,391.67535391356876,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,78,92.46055958333334,14.974146452190933,4421.2372,2187.8730193590814,150.0884,0.0,4371.1488,2198.470296250682,100.0,10.597276891600876,0.0,4371.1488,0.0,0.0,2198.470296250682,0.0,0.13286161422729492,0.024023056030273438,0.5,0.0,335468.44970880006,170654.09551000802,3744.0,396.7620468215372,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,79,93.65828083333332,15.762939023245293,3990.1784000000007,2187.8730193590814,149.3088,0.0,3940.869600000001,2198.470296250682,100.0,10.597276891600876,0.0,3940.869600000001,0.0,0.0,2198.470296250682,0.0,0.2309398651123047,0.03480863571166992,0.5,0.0,339458.62810880004,172841.9685293671,3792.0,401.8487397295056,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,80,100.29546625,20.368919676137057,4021.8092800000013,2187.8730193590814,198.3428,0.0,3923.466480000001,2198.470296250682,100.0,10.597276891600876,0.0,3923.466480000001,0.0,0.0,2198.470296250682,0.0,0.15540051460266113,0.0313572883605957,0.5,0.0,343480.4373888,175029.84154872617,3840.0,406.93543263747404,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,81,95.75426125000001,12.935410827019346,4412.642000000001,2187.8730193590814,143.458,0.0,4369.184000000001,2198.470296250682,100.0,10.597276891600876,0.0,4369.184000000001,0.0,0.0,2198.470296250682,0.0,0.15384984016418457,0.025346994400024414,0.5,0.0,347893.0793888,177217.71456808524,3888.0,412.02212554544246,0.0,5.08669290796842,5.08669290796842
